run_index,sample,linker_length,linker_conc,temperature,meansize,msd,1/eta,cbeta,beta,norm_1/eta,norm_cbeta,norm_beta,pc1,pc2,pc3
1,31,15,1,30,8.344019044,2.159523642,0.016609329100722218,0.20300118816330187,0.070404494,0.082964864,-0.376016292,-0.167573451,0.17241696174086488,-0.374064855,-0.081854492
1,31,15,1,35,8.344019044,2.159523642,0.019852312618851058,0.18784923814769844,0.074514822,0.18902627615136866,-0.467709956,-0.096312089,0.3284824226438037,-0.388705574,-0.069042229
1,32,15,10,20,8.315158886,1.806626413,0.008843207,0.369019919,0.035732146,-0.291859068,0.3304191297156623,-0.768692994,-0.791705709,-0.352758692,0.18442020511148718
1,32,15,10,25,8.315158886,1.806626413,0.003397997,0.30239044109759605,0.051489475239956985,-0.860630905,0.095036804,-0.495505879,-0.848998822,-0.223175842,-0.473959036
1,32,15,10,30,8.315158886,1.806626413,0.004737956,0.26403082165560376,0.050891814793626644,-0.662953874,-0.065311251,-0.505867606,-0.643565312,-0.354359039,-0.399910981
1,32,15,10,35,8.315158886,1.806626413,0.001516535,0.2429575961865736,0.051174462,-1.34037865,-0.163632402,-0.500967303,-0.993721582,-0.333513943,-0.987747233
2,0,0,0,20,6.535393535,1.577835998,0.002936232,0.47108315731358946,0.027747786906386303,-0.947486676,0.6190554031690305,-0.907118987,-1.429681149,-0.203080125,-0.136366138
2,0,0,0,25,6.535393535,1.577835998,0.001923829,0.38982880569704026,0.017497794040222787,-1.198915193,0.3952625941635977,-1.084824605,-1.551986879,-0.451005928,-0.398001213
2,0,0,0,30,6.535393535,1.577835998,0.004651847,0.31992160522429636,0.017583006639942778,-0.673860784,0.16165320344287198,-1.083347262,-1.100320849,-0.656821722,-0.108354326
2,0,0,0,35,6.535393535,1.577835998,0.004928623,0.29997308344203144,0.020154205648784868,-0.639492163,0.085549381,-1.038770011,-1.011278699,-0.673994048,-0.135497136
2,11,5,1,20,6.9040033,1.443730929,0.015780231584128137,0.24110934098552467,0.066086225,0.052514311,-0.172658963,-0.242439911,-0.003898005,-0.301148721,0.025302851300165536
2,11,5,1,25,6.9040033,1.443730929,0.020959118,0.2004301386920524,0.06893331,0.22128861603179695,-0.391082723,-0.19307957,0.2504419067442587,-0.41920756,0.027165065
