1/eta,cbeta,beta,meansize,msd,sample,temperature,linker_length,linker_conc,pc1,pc2,pc3,run_index
0.006013892,0.36084048,0.075558726,11.49529302,1.445361706,22,20,10,10,-0.557201775,0.053846299,-0.157599786,3
0.005336003,0.277896133,0.072537023,11.49529302,1.445361706,22,25,10,10,-0.452767914,-0.175171595,-0.355593578,3
0.009542964,0.238830991,0.077088545,11.49529302,1.445361706,22,30,10,10,-0.101417882,-0.262991092,-0.205194124,3
0.01109675,0.209116552,0.071543626,11.49529302,1.445361706,22,35,10,10,-0.012884813,-0.446153195,-0.18525021,3
0.0060844,0.318374799,0.041952095,7.273544376,1.619257015,32,20,15,10,-0.796996945,-0.491690927,-0.038150778,3
0.008040803,0.243014066,0.048982938,7.273544376,1.619257015,32,25,15,10,-0.44801833,-0.616729785,-0.114342789,3
0.006129116,0.209348662,0.058008948,7.273544376,1.619257015,32,30,15,10,-0.354937234,-0.590840213,-0.382376161,3
0.009535608,0.187334077,0.053301853,7.273544376,1.619257015,32,35,15,10,-0.170341222,-0.76416596,-0.219197671,3
0.000379882,5.217435171,0.019686723,6.873835558,1.736502592,33,20,15,100,-3.876711883,1.474070406,0.516243386,3
0.001436323,3.594280393,0.064481465,6.873835558,1.736502592,33,25,15,100,-2.719424185,1.715006475,0.649313445,3
0.002014201,1.359116801,0.095654075,6.873835558,1.736502592,33,30,15,100,-1.640185933,1.383934422,0.033822774,3
0.112220767,0.193124039,0.288714794,6.873835558,1.736502592,33,35,15,100,2.977312022,2.267844395,-0.395705744,3
